                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,1,1,Low,Equation.prototype.computeGW,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.computeGWlambda,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.computeGiMf,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.computeGiMGt,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.addToWlambda,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Equation.prototype.computeInvC,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,FrictionEquation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,FrictionEquation.prototype.setSlipForce,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,FrictionEquation.prototype.getSlipForce,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,FrictionEquation.prototype.computeB,d:\Development\GitHub\Breakout\source\\phaser.js
1,3,1,Low,RotationalLockEquation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RotationalLockEquation.prototype.computeGq,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RotationalVelocityEquation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RotationalVelocityEquation.prototype.computeB,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,var EventEmitter,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,6,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
9,11,9,Low,ContactMaterial,d:\Development\GitHub\Breakout\source\\phaser.js
